date,country,state,county,fips,lat,long,locationId,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused1,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused2,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,metrics.testPositivityRatio,metrics.testPositivityRatioDetails,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused3,unused4,metrics.icuCapacityRatio,riskLevels.overall,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,riskLevels.caseDensity,cdcTransmissionLevel,actuals.vaccinationsAdditionalDose,metrics.vaccinationsAdditionalDoseRatio,metrics.weeklyNewCasesPer100k,hsa,hsaPopulation,actuals.hsaHospitalBeds.capacity,actuals.hsaHospitalBeds.currentUsageTotal,actuals.hsaHospitalBeds.currentUsageCovid,actuals.hsaIcuBeds.capacity,actuals.hsaIcuBeds.currentUsageTotal,actuals.hsaIcuBeds.currentUsageCovid,metrics.bedsWithCovidPatientsRatio,hsaName,actuals.hospitalBeds.weeklyCovidAdmissions,actuals.hsaHospitalBeds.weeklyCovidAdmissions,metrics.weeklyCovidAdmissionsPer100k,communityLevels.cdcCommunityLevel,communityLevels.canCommunityLevel
2021-09-19,US,,,0,,,iso1:us,41991167,673692,43974213,513621735,67410,782802,587825,89403,,84784,66384,23779,,39956,445578595,200971627,172593960,0.077,,44.7,0.09,0.91,0.1,,,0.78,3,0.606,0.521,302,367418239,3,3,0,0.0,312.7,,,,,,,,,0.114,,72061,,21.7,,2
2021-09-20,US,,,0,,,iso1:us,42199003,675942,44082268,514873443,67410,731048,554181,89503,,85184,66682,23685,,207836,445539795,201217148,172926214,0.076,,41.4,0.1,0.91,0.1,,,0.78,3,0.607,0.522,2251,368043571,3,3,0,0.0,289.5,,,,,,,,,0.122,,70588,,21.3,,2
2021-09-21,US,,,0,,,iso1:us,42328748,678307,44208213,516651420,67410,737788,573897,88480,,85459,68457,23534,,129745,446212085,201425532,173199736,0.074,,40.4,0.1,0.91,0.1,,,0.8,3,0.608,0.522,2366,368563746,3,3,0,0.0,282.7,,,,,,,,,0.12,,69228,,20.9,,2
2021-09-22,US,,,0,,,iso1:us,42476172,681092,44339286,518567632,67410,789634,620665,86783,,85983,69065,23126,,147424,447134505,201698515,173554312,0.072,,39.4,0.1,0.91,0.1,,,0.8,3,0.608,0.524,2785,369234550,3,3,0,0.0,275.8,,,,,,,,,0.11,,68005,,20.5,,2
2021-09-23,US,,,0,,,iso1:us,42603797,684244,44461751,520419043,67410,788974,619115,85321,,85640,68711,22583,,127625,448394215,201696406,173731679,0.071,,38.2,0.11,0.91,0.1,,,0.8,3,0.608,0.524,3154,369518710,3,3,0,0.0,267.6,,,,,,,,,0.108,,66411,,20.0,,2
2021-09-24,US,,,0,,,iso1:us,42743658,686993,44579186,522194262,67410,788837,614194,83438,,85575,68379,22181,,139861,449427425,201974766,174081911,0.069,,37.1,0.11,0.9,0.1,,,0.8,3,0.609,0.525,2705,370223311,3,3,0,0.0,259.6,,,,,,,,,0.106,,65035,,19.6,,2
2021-09-25,US,,,0,,,iso1:us,42795250,687622,45167617,531891022,67410,785073,594896,80794,,84990,66657,21724,,51592,450564775,202265027,174453008,0.063,,36.4,0.11,0.9,0.1,,,0.78,3,0.61,0.526,629,370977543,3,3,0,0.0,254.6,,,,,,,,,0.103,,63574,,19.2,,2
2021-09-26,US,,,0,,,iso1:us,42829485,687924,45238983,532706625,67410,780736,581692,80174,,84905,65461,21539,,34235,450556965,202523679,174749268,0.062,,36.1,0.11,0.9,0.1,,,0.77,3,0.611,0.527,302,371675108,3,3,0,0.0,252.9,,,,,,,,,0.103,,62284,,18.8,,2
2021-09-27,US,,,0,,,iso1:us,43023864,690296,45334624,533856496,67410,731121,548638,79679,,84735,65581,21255,,194379,450561725,202687928,174941423,0.062,,35.5,0.11,0.9,0.1,,,0.77,3,0.611,0.528,2280,372157153,3,3,0,0.0,248.8,,,,,,,,,0.109,,60978,,18.4,,2
2021-09-28,US,,,0,,,iso1:us,43137204,692615,45452919,535637904,67410,734328,568879,78705,,85067,67353,20880,,113340,451359595,202766459,175109066,0.062,,34.8,0.12,0.91,0.1,,,0.79,3,0.612,0.528,2159,372615009,3,3,0,0.0,243.9,,,,,,,,,0.107,,59731,,18.0,,2
2021-09-29,US,,,0,,,iso1:us,43265674,695129,45574116,537553254,67410,787915,616682,76791,,85416,67763,20397,,128470,452605105,203019606,175360902,0.061,,34.0,0.12,0.91,0.1,,,0.79,3,0.612,0.529,2514,373392781,3,3,0,0.0,238.2,,,,,,,,,0.097,,58281,,17.6,,2
2021-09-30,US,,,0,,,iso1:us,43381378,697867,45686247,539394411,67410,788070,613704,74858,,84859,67379,19799,,115704,452878555,203275067,175608029,0.061,,33.5,0.12,0.91,0.1,,,0.79,3,0.613,0.53,2738,374246716,3,3,0,0.0,234.6,,,,,,,,,0.095,,56954,,17.2,,2
2021-10-01,US,,,0,,,iso1:us,43506962,700313,45791550,541132000,67410,786729,607240,73039,,84700,66748,19269,,125584,455624565,203509183,175838487,0.06,,32.9,0.12,0.91,0.1,,,0.79,3,0.614,0.53,2446,375026881,3,3,0,0.0,230.3,,,,,,,,,0.093,,55831,,16.8,,2
2021-10-02,US,,,0,,,iso1:us,43551184,700961,45874314,542374956,67410,783466,590658,70698,,84233,65487,18939,,44222,456835295,203764368,176117989,0.063,,32.6,0.12,0.91,0.1,,,0.78,3,0.615,0.531,648,375917109,3,3,0,0.0,228.0,,,,,,,,,0.09,,54712,,16.5,,2
2021-10-03,US,,,0,,,iso1:us,43577023,701210,45936669,543124372,67410,778840,577050,70143,,84096,64124,18768,,25839,456871725,204106549,176453540,0.063,,32.2,0.13,0.91,0.1,,,0.76,3,0.616,0.532,250,377117777,3,3,0,0.0,225.5,,,,,,,,,0.09,,53728,,16.2,,2
2021-10-04,US,,,0,,,iso1:us,43749368,703238,46024376,544334553,67410,730288,544876,70411,,84088,64203,18672,,172345,456854205,204358443,176737627,0.062,,31.3,0.13,0.91,0.1,,,0.76,3,0.616,0.533,2029,378064390,3,3,0,0.0,218.9,,,,,,,,,0.096,,52890,,16.0,,2
2021-10-05,US,,,0,,,iso1:us,43847970,705266,46128969,546104870,67410,733497,566095,69782,,84447,66078,18259,,98602,457771645,204579674,177002782,0.061,,30.6,0.13,0.91,0.1,,,0.78,3,0.617,0.534,2028,378837829,3,3,0,0.0,214.4,,,,,,,,,0.095,,51905,,15.7,,2
2021-10-06,US,,,0,,,iso1:us,43973569,707790,46239290,548003458,67410,787525,614144,68289,,84944,66550,17908,,115988,458779075,204813186,177256694,0.06,,30.1,0.14,0.91,0.1,,,0.78,3,0.618,0.535,2524,379665798,3,3,0,0.0,210.7,,,,,,,,,0.087,,51321,,15.5,,2
2021-10-07,US,,,0,,,iso1:us,44078790,710239,46340283,549829547,67410,788278,614607,67185,,84707,66285,17473,,105221,460526225,205047841,177477484,0.059,,29.6,0.14,0.91,0.1,,,0.78,3,0.619,0.535,2449,380503245,3,3,0,0.0,207.5,,,,,,,,,0.085,,50745,,15.3,,2
2021-10-08,US,,,0,,,iso1:us,44191576,712681,46435278,551554921,67410,786311,608983,65342,,84370,65607,17001,,112786,463775665,205329810,177763322,0.058,,29.1,0.14,0.91,0.1,,,0.78,3,0.619,0.536,2442,381577403,3,3,0,0.0,203.6,,,,,,,,,0.083,,50009,,15.1,,2
2021-10-09,US,,,0,,,iso1:us,44228910,713194,46511251,552725722,67410,782114,589856,63811,,83978,64111,17371,,37334,465251525,205625764,178049646,0.058,,28.8,0.14,0.91,0.1,,,0.76,3,0.62,0.537,513,382642987,3,3,0,0.0,201.6,,,,,,,,,0.082,,49555,,14.9,,2
2021-10-10,US,,,0,,,iso1:us,44251949,713675,46567461,553403786,67410,777849,578037,63374,,83746,62884,17885,,23039,465257955,205824739,178244994,0.058,,28.7,0.14,0.91,0.1,,,0.75,3,0.621,0.538,192,383364312,3,3,0,0.0,200.7,,,,,,,,,0.081,,49128,,14.8,,2
2021-10-11,US,,,0,,,iso1:us,44375386,714835,46641157,554507057,67410,727718,543476,63519,,83449,62965,17900,,123437,465250625,205962178,178376415,0.057,,26.6,0.15,0.91,0.1,,,0.75,3,0.621,0.538,1160,383826918,3,3,0,0.0,186.0,,,,,,,,,0.087,,48601,,14.7,,1
2021-10-12,US,,,0,,,iso1:us,44486777,717357,46732498,556097195,67410,731247,562606,62862,,83925,64738,17753,,111392,466079875,206088058,178518488,0.057,,27.1,0.15,0.92,0.1,,,0.77,3,0.622,0.539,2522,384286730,3,3,0,0.0,189.8,,,,,,,,,0.086,,47943,,14.5,,1
2021-10-13,US,,,0,,,iso1:us,44593172,719592,46826412,557886645,67410,787452,612331,61779,,84140,65577,17532,,106395,467096225,206295251,178732448,0.056,,26.7,0.15,0.92,0.1,,,0.78,3,0.622,0.539,2241,385048572,3,3,0,0.0,186.9,,,,,,,,,0.078,,47114,,14.2,,1
2021-10-14,US,,,0,,,iso1:us,44682046,721631,46915293,559695570,67410,788410,612097,60386,,84244,65554,17067,,88874,468688335,206551998,179009278,0.055,,26.0,0.16,0.92,0.1,,,0.78,3,0.623,0.54,2039,385986029,3,3,0,0.0,182.0,,,,,,,,,0.077,,46283,,14.0,,1
2021-10-15,US,,,0,,,iso1:us,44780501,723806,46996438,561346770,67410,786945,606976,59078,,83879,65110,16722,,98455,470731765,206883615,179358260,0.054,,25.4,0.16,0.92,0.1,,,0.78,3,0.624,0.541,2175,387043865,3,3,0,0.0,177.7,,,,,,,,,0.075,,45762,,13.8,,1
2021-10-16,US,,,0,,,iso1:us,44814042,724193,47062884,562490492,67410,782173,587569,57601,,83444,63390,16199,,33541,472448615,207108401,179589136,0.053,,25.2,0.16,0.93,0.1,,,0.76,3,0.625,0.542,387,387873459,3,3,0,0.0,176.5,,,,,,,,,0.074,,45116,,13.6,,1
2021-10-17,US,,,0,,,iso1:us,44836194,724375,47111017,563146252,67410,778978,576281,57057,,82998,61969,16036,,22152,472238205,207331002,179815011,0.053,,25.2,0.16,0.93,0.1,,,0.75,3,0.625,0.542,182,388661973,3,3,0,0.0,176.3,,,,,,,,,0.073,,44457,,13.4,,1
2021-10-18,US,,,0,,,iso1:us,44957930,726243,47177118,564329931,67410,727379,540933,57223,,83076,62193,16211,,121737,472193485,207478594,179947585,0.052,,25.1,0.16,0.93,0.1,,,0.75,3,0.626,0.543,1868,389141224,3,3,0,0.0,175.7,,,,,,,,,0.079,,43836,,13.2,,1
2021-10-19,US,,,0,,,iso1:us,45041444,728377,47258280,565987857,67410,731841,561640,56362,,83322,63793,15978,,83514,473316725,207636386,180117773,0.05,,23.9,0.17,0.94,0.1,,,0.77,2,0.626,0.543,2139,389719233,2,3,0,0.0,167.3,,,,,,,,,0.077,,43018,,13.0,,1
2021-10-20,US,,,0,,,iso1:us,45128052,731383,47347766,567800162,67410,787784,611009,54852,,83312,64452,15675,,86608,474318335,207834821,180323000,0.05,,23.1,0.18,0.95,0.1,,,0.77,2,0.627,0.544,1971,390427182,2,3,10898689,0.033,161.4,,,,,,,,,0.07,,42166,,12.7,,1
2021-10-21,US,,,0,,,iso1:us,45209773,733259,47431628,569572584,67410,788051,611292,54024,,83289,64430,15309,,81721,476041855,208057074,180525140,0.05,,22.7,0.18,0.95,0.1,,,0.77,2,0.628,0.545,1876,391207007,2,3,11247653,0.034,159.2,,,,,,,,,0.069,,41591,,12.5,,1
2021-10-22,US,,,0,,,iso1:us,45296949,735393,47506948,571125511,67410,787860,607797,53015,,83204,64003,15075,,87176,478835755,208569768,180960935,0.05,,22.3,0.18,0.96,0.1,,,0.77,2,0.629,0.546,2134,392106320,2,3,11666480,0.035,155.8,,,,,,,,,0.067,,40784,,12.3,,1
2021-10-23,US,,,0,,,iso1:us,45326773,735842,47568056,572178558,67410,785035,587898,51756,,83103,62622,14678,,29824,480673995,208791888,181168159,0.05,,22.1,0.18,0.96,0.1,,,0.75,2,0.63,0.547,449,392950949,2,3,12085209,0.036,154.7,,,,,,,,,0.066,,40083,,12.1,,1
2021-10-24,US,,,0,,,iso1:us,45343875,735990,47612950,572773466,67410,781774,574926,51548,,82555,60935,14442,,17102,480648745,208975934,181332419,0.05,,21.9,0.19,0.97,0.1,,,0.74,2,0.63,0.547,148,393696220,2,3,12487192,0.038,153.2,,,,,,,,,0.066,,39509,,11.9,,1
2021-10-25,US,,,0,,,iso1:us,45449218,737401,47673579,573887685,67410,727807,541675,51867,,82684,61429,14610,,105343,480577985,209122062,181446065,0.049,,21.2,0.19,0.98,0.1,,,0.74,2,0.631,0.547,1412,394318519,2,3,12853437,0.039,148.2,,,,,,,,,0.071,,39104,,11.8,,1
2021-10-26,US,,,0,,,iso1:us,45536489,739134,47754553,575506776,67410,730755,561209,51517,,82874,63341,14541,,87271,481609205,209226505,181531901,0.05,,21.3,0.19,0.98,0.1,,,0.76,2,0.631,0.548,1733,394992887,2,3,13337381,0.04,149.3,,,,,,,,,0.07,,38494,,11.6,,1
2021-10-27,US,,,0,,,iso1:us,44804829,741147,47838088,577243011,67410,786398,611692,50798,,83317,64058,14397,,87030,484456365,209460990,181714371,0.049,,21.4,0.19,0.99,0.1,,,0.77,2,0.632,0.548,2013,396049032,2,3,13992418,0.042,149.5,,,,,,,,,0.065,,38111,,11.5,,1
2021-10-28,US,,,0,,,iso1:us,44888750,742925,47914379,578874827,67410,787420,611237,50026,,83385,64090,14099,,83921,487418955,209840374,181954094,0.049,,21.4,0.19,1.0,0.1,,,0.77,2,0.633,0.549,1790,397630771,2,3,14956541,0.045,150.1,,,,,,,,,0.064,,37558,,11.3,,1
2021-10-29,US,,,0,,,iso1:us,45805554,744942,47987841,580371282,67410,784657,604785,48985,,83271,63628,12454,,86128,491390295,209319029,182697520,0.049,,21.4,0.19,1.01,0.1,,,0.76,2,0.631,0.551,2017,398787931,2,3,16197849,0.049,149.8,,,,,,,,,0.062,,37208,,11.2,,1
2021-10-30,US,,,0,,,iso1:us,45834965,745266,48046652,581376611,67410,781080,584453,48200,,82715,62038,12151,,29411,494971915,209642167,182929818,0.049,,21.4,0.19,1.01,0.1,,,0.75,2,0.632,0.552,324,400353226,2,3,17204920,0.052,149.7,,,,,,,,,0.062,,36946,,11.1,,1
2021-10-31,US,,,0,,,iso1:us,45853791,745423,48089270,581951803,67410,775151,569838,47922,,82247,60501,12091,,18826,494968555,209911284,183124514,0.049,,21.5,0.19,1.02,0.1,,,0.74,2,0.633,0.552,,401704239,2,3,18061822,0.054,150.2,,,,,,,,,0.062,,36669,,11.1,,1
2021-11-01,US,,,0,,,iso1:us,45978281,746570,48150271,582954647,67410,722251,534612,48329,,82300,60617,12107,,122232,494840595,210105398,183246462,0.05,,22.2,0.18,1.02,0.1,,,0.74,2,0.634,0.553,1147,402569862,2,3,18618889,0.056,155.3,,,,,,,,,0.067,,36139,,10.9,,1
2021-11-02,US,,,0,,,iso1:us,46055197,748086,48232498,584521670,67410,729104,557520,48189,,82858,62823,11945,,76535,497544565,210273739,183372761,0.05,,21.7,0.19,1.03,0.1,,,0.76,2,0.634,0.553,1522,403460447,2,3,19205327,0.058,152.1,,,,,,,,,0.066,,36056,,10.9,,1
2021-11-03,US,,,0,,,iso1:us,46139899,749962,48322093,586336120,67410,784754,606265,47724,,83395,63394,11764,,84702,500931655,210552076,183567840,0.051,,21.6,0.19,1.04,0.1,,,0.76,2,0.635,0.554,1876,404736860,2,3,20010384,0.06,151.4,,,,,,,,,0.061,,35885,,10.8,,1
2021-11-04,US,,,0,,,iso1:us,46222880,751081,48409254,588011861,67410,784879,606118,46920,,83123,63166,11554,,82981,504436155,210843252,183851483,0.051,,21.6,0.19,1.04,0.1,,,0.76,2,0.636,0.555,1119,406127456,2,3,20859967,0.063,151.1,,,,,,,,,0.06,,35754,,10.8,,1
2021-11-05,US,,,0,,,iso1:us,46314554,753402,48491223,589529541,67410,784703,601748,46493,,83083,62938,11340,,91674,506870525,211086500,184003806,0.052,,21.8,0.19,1.05,0.1,,,0.76,2,0.637,0.555,2321,407274344,2,3,21622070,0.065,152.8,,,,,,,,,0.059,,35648,,10.8,,1
2021-11-06,US,,,0,,,iso1:us,46346493,753804,48559711,590581818,67410,780046,583113,45675,,82429,61399,11230,,31939,508559805,211389369,184190030,0.053,,21.9,0.19,1.05,0.1,,,0.74,2,0.638,0.556,402,408634662,2,3,22494794,0.068,153.5,,,,,,,,,0.059,,35537,,10.7,,1
2021-11-07,US,,,0,,,iso1:us,46368525,753936,48614048,591366028,67410,777357,571582,45827,,82247,60218,11209,,22034,509555345,211741925,184380156,0.053,,22.1,0.18,1.05,0.1,,,0.73,2,0.639,0.556,132,410059320,2,3,23376521,0.071,154.5,,,,,,,,,0.059,,35715,,10.8,,1
2021-11-08,US,,,0,,,iso1:us,46494909,755156,48685851,592547509,67410,725194,539008,46731,,82295,60778,11331,,126384,509559205,212026229,184540510,0.053,,22.2,0.18,1.05,0.1,,,0.74,2,0.64,0.557,1220,411196035,2,3,24074249,0.073,155.7,,,,,,,,,0.064,,36201,,10.9,,1
2021-11-09,US,,,0,,,iso1:us,46578496,756866,48783264,594319920,67410,730348,562986,47406,,82877,63261,11355,,83587,512013905,212308947,184700603,0.053,,22.6,0.18,1.05,0.1,,,0.76,2,0.64,0.557,1710,412203320,2,3,24640477,0.074,157.9,,,,,,,,,0.065,,36543,,11.0,,1
2021-11-10,US,,,0,,,iso1:us,46676799,758498,48885286,596048858,67410,785537,612572,47499,,83150,63861,11289,,98303,516497015,212680014,184904907,0.055,,23.1,0.18,1.06,0.1,,,0.77,2,0.642,0.558,1632,413476588,2,3,25340213,0.076,162.0,,,,,,,,,0.06,,36750,,11.1,,1
2021-11-11,US,,,0,,,iso1:us,46442695,759220,48979417,597690602,67410,785263,612452,47295,,82961,63676,11280,,64574,521692765,213138350,185085291,0.056,,22.3,0.18,1.06,0.1,,,0.77,2,0.643,0.558,722,414908500,2,3,26138262,0.079,156.4,,,,,,,,,0.06,,37029,,11.2,,1
2021-11-12,US,,,0,,,iso1:us,46870701,761281,49069086,599090267,67410,782975,606053,47158,,82665,63216,11271,,129242,525853305,213532679,185245655,0.057,,24.0,0.17,1.06,0.1,,,0.76,2,0.644,0.559,,416184247,2,3,26863315,0.081,167.7,,,,,,,,,0.06,,37330,,11.3,,1
2021-11-13,US,,,0,,,iso1:us,46932098,761749,49144403,600130578,67410,780424,588432,47004,,82505,61739,11296,,40171,528590865,214048829,185435898,0.058,,24.3,0.17,1.05,0.1,,,0.75,2,0.646,0.559,468,417808810,2,3,27751107,0.084,170.2,,,,,,,,,0.06,,37794,,11.4,,1
2021-11-14,US,,,0,,,iso1:us,46955657,761891,49201048,600851479,67410,776843,575092,47411,,82199,60239,11264,,23559,528516135,214466303,185596698,0.058,,24.4,0.17,1.05,0.1,,,0.73,2,0.647,0.56,142,419275738,2,3,28497083,0.086,170.7,,,,,,,,,0.061,,38103,,11.5,,1
2021-11-15,US,,,0,,,iso1:us,47104211,763082,49281289,602031863,67410,723851,541889,48587,,82162,60739,11534,,148555,528422755,214957334,185742724,0.059,,25.3,0.16,1.05,0.1,,,0.74,3,0.648,0.56,1193,420653826,3,3,29200860,0.088,177.4,,,,,,,,,0.067,,38429,,11.6,,1
2021-11-16,US,,,0,,,iso1:us,47194655,764526,49385764,603783913,67410,730350,566543,49810,,82898,63381,11599,,90444,530657685,215455100,185891332,0.06,,25.6,0.16,1.05,0.1,,,0.76,3,0.65,0.561,1444,421944121,3,3,29831575,0.09,179.4,,,,,,,,,0.068,,39076,,11.8,,1
2021-11-17,US,,,0,,,iso1:us,47308970,766144,49498270,605635989,67410,785818,615940,49911,,83013,64118,11664,,114315,532932155,215880259,186055816,0.06,,26.3,0.15,1.05,0.1,,,0.77,3,0.651,0.561,1618,423270483,3,3,30566336,0.092,184.3,,,,,,,,,0.064,,39740,,12.0,,1
2021-11-18,US,,,0,,,iso1:us,47419171,769473,49606626,607421712,67410,786062,616648,50698,,83205,64303,11791,,100653,535517385,216237429,186146932,0.061,,27.9,0.15,1.05,0.1,,,0.77,3,0.652,0.562,1144,424665274,3,3,31546817,0.095,195.2,,,,,,,,,0.064,,40598,,12.2,,1
2021-11-19,US,,,0,,,iso1:us,47538786,771463,49708482,608987658,67410,784046,610180,50617,,83124,63984,11822,,119615,537800005,216912271,186344728,0.061,,27.5,0.15,1.06,0.1,,,0.77,3,0.654,0.562,1990,426505092,3,3,32508650,0.098,192.3,,,,,,,,,0.065,,41002,,12.4,,1
2021-11-20,US,,,0,,,iso1:us,47429804,771788,49789319,610047482,67410,779322,588733,50276,,82405,62351,11785,,40584,541154775,217412472,186540051,0.061,,27.5,0.15,1.06,0.1,,,0.76,3,0.656,0.563,325,428217720,3,3,33524708,0.101,192.4,,,,,,,,,0.065,,41386,,12.5,,1
2021-11-21,US,,,0,,,iso1:us,47611214,771911,49854780,610742800,67410,777405,576973,50886,,82140,61003,11973,,31025,541046445,217844376,186689792,0.062,,27.8,0.15,1.06,0.1,,,0.74,3,0.657,0.563,123,429676421,3,3,34405186,0.104,194.6,,,,,,,,,0.065,,41814,,12.6,,1
2021-11-22,US,,,0,,,iso1:us,47770085,773054,49937992,611813276,67410,723569,539803,52383,,82239,61453,12296,,158871,540856145,218255655,186800345,0.063,,28.2,0.14,1.07,0.1,,,0.75,3,0.658,0.564,1212,430852165,3,3,35062741,0.106,197.7,,,,,,,,,0.072,,42563,,12.8,,1
2021-11-23,US,,,0,,,iso1:us,47862794,774531,50041611,613323000,67410,728786,558654,53378,,82781,63210,12329,,92709,543096265,218168290,186370664,0.064,,28.3,0.14,1.07,0.1,,,0.76,3,0.658,0.562,1477,430866398,3,3,35632807,0.107,198.4,,,,,,,,,0.073,,43162,,13.0,,1
2021-11-24,US,,,0,,,iso1:us,47982656,776167,50151499,614872381,67410,776003,591342,53532,,83024,62979,12448,,119862,546115985,218770349,186537533,0.066,,28.6,0.14,1.08,0.1,,,0.76,3,0.66,0.563,1636,432462891,3,3,36467843,0.11,200.1,,,,,,,,,0.069,,43626,,13.2,,2
2021-11-25,US,,,0,,,iso1:us,48013509,776544,50211892,615565754,67410,768766,555708,52398,,82471,60810,12471,,30856,546115985,218770349,186537533,0.069,,25.6,0.16,1.08,0.1,,,0.74,3,0.66,0.563,377,432462891,3,3,36467843,0.11,179.0,,,,,,,,,0.068,,43696,,13.2,,1
2021-11-26,US,,,0,,,iso1:us,48065016,777088,50275906,616265199,67410,764259,543469,53284,,82001,59765,12654,,51507,546115985,218770349,186537533,0.072,,22.6,0.18,1.09,0.1,,,0.73,2,0.66,0.563,547,432462891,2,3,36467843,0.11,158.5,,,,,,,,,0.07,,43393,,13.1,,1
2021-11-27,US,,,0,,,iso1:us,48089695,777280,50357166,617083734,67410,764205,545583,54538,,82143,60136,12849,,24679,546115985,218770349,186537533,0.075,,22.0,0.19,1.09,0.1,,,0.73,2,0.66,0.563,192,432462891,2,3,36467843,0.11,153.7,,,,,,,,,0.071,,44184,,13.3,,1
2021-11-28,US,,,0,,,iso1:us,48113637,777401,50429172,617828388,67410,764103,551249,55930,,82034,60421,13105,,,546115985,218770349,186537533,0.075,,,,1.09,0.1,,,0.74,2,0.66,0.563,121,432462891,2,3,36467843,0.11,,,,,,,,,,0.073,,44799,,13.5,,1
2021-11-29,US,,,0,,,iso1:us,48329915,779275,50535000,619092492,67410,721438,533624,57697,,82081,61470,13379,,216278,544649575,220090861,187149813,0.076,,26.9,0.15,1.09,0.1,,,0.75,3,0.664,0.565,1875,437093551,3,3,39171616,0.118,188.6,,,,,,,,,0.08,,45338,,13.7,,1
2021-11-30,US,,,0,,,iso1:us,48439186,780833,50671498,620847811,67410,729198,562947,58672,,82733,64319,13545,,109271,547119115,220464827,187383039,0.077,,27.8,0.15,1.09,0.1,,,0.78,3,0.665,0.565,1558,438528930,3,3,40003134,0.121,194.4,,,,,,,,,0.08,,45899,,13.8,,1
2021-12-01,US,,,0,,,iso1:us,48578498,782798,50813440,622672432,67410,784335,614943,59090,,83072,65259,13671,,139312,546047220,219856266,186929786,0.078,,28.8,0.14,1.09,0.1,,,0.79,3,0.663,0.564,,438280244,3,3,40736737,0.123,201.3,,,,,,,,,0.075,,46672,,14.1,,2
2021-12-02,US,,,0,,,iso1:us,48717171,784152,50950900,624579897,67410,784875,616590,59534,,83035,65444,13772,,138673,548510410,220225562,187254486,0.076,,34.2,0.12,1.09,0.1,,,0.79,3,0.664,0.565,1354,439947220,3,3,41742685,0.126,239.2,,,,,,,,,0.076,,47525,,14.3,,2
2021-12-03,US,,,0,,,iso1:us,48870399,786313,51083046,626378827,67410,785513,617677,60229,,83166,65579,13888,,153228,551026390,220655993,187604898,0.074,,39.3,0.1,1.08,0.1,,,0.79,3,0.666,0.566,1771,441765652,3,3,42777145,0.129,275.0,,,,,,,,,0.077,,49642,,15.0,,2
2021-12-04,US,,,0,,,iso1:us,48928543,786803,51185074,627643258,67410,780053,599254,60294,,82477,63846,13942,,58144,551233970,221136021,187956794,0.073,,41.0,0.1,1.08,0.1,,,0.77,3,0.667,0.567,514,443807273,3,3,43998238,0.133,286.8,,,,,,,,,0.077,,50492,,15.2,,2
2021-12-05,US,,,0,,,iso1:us,48963107,786964,51263040,628323634,67410,776460,586866,61328,,82321,62884,14149,,34978,550578290,221507701,188315438,0.074,,36.6,0.11,1.08,0.1,,,0.76,3,0.668,0.568,161,445542747,3,3,44997324,0.136,256.4,,,,,,,,,0.079,,51295,,15.5,,2
2021-12-06,US,,,0,,,iso1:us,49160510,788305,51364647,629516795,67410,725335,555111,63288,,82184,63344,14455,,197817,550265270,221802790,188656911,0.074,,35.8,0.11,1.08,0.1,,,0.77,3,0.669,0.569,1341,446909066,3,3,45729722,0.138,250.8,,,,,,,,,0.087,,51845,,15.6,,2
2021-12-07,US,,,0,,,iso1:us,49274474,790079,51491448,631327259,67410,729797,575279,65038,,82821,65475,14771,,114043,552144500,222102832,188997722,0.073,,36.0,0.11,1.08,0.1,,,0.79,3,0.67,0.57,1774,448336474,3,3,46518647,0.14,252.3,,,,,,,,,0.089,,52786,,15.9,,2
2021-12-08,US,,,0,,,iso1:us,49423506,791958,51627591,633239185,67410,785281,623355,65991,,83100,65928,14901,,149446,556390870,222477785,189338436,0.072,,36.5,0.11,1.09,0.1,,,0.79,3,0.671,0.571,1879,449941040,3,3,47425141,0.143,255.3,,,,,,,,,0.084,,53644,,16.2,,2
2021-12-09,US,,,0,,,iso1:us,49547005,793253,51753483,635025607,67410,784906,622966,66528,,83037,66002,14992,,123913,558285090,222820741,189637609,0.071,,35.8,0.11,1.1,0.1,,,0.79,3,0.672,0.572,1295,451567370,3,3,48402321,0.146,250.9,,,,,,,,,0.085,,54691,,16.5,,2
2021-12-10,US,,,0,,,iso1:us,49712047,795356,51249165,625944709,67410,784199,619030,67199,,83103,65949,15236,,,561301480,223413862,190146152,,,,,1.11,0.1,,,0.79,3,0.674,0.574,2103,454491929,3,3,50177150,0.151,,,,,,,,,,0.086,,55242,,16.7,,2
2021-12-11,US,,,0,,,iso1:us,49763392,795772,51344137,627128312,67410,780792,602275,66789,,82401,64675,15326,,51759,563996830,223871275,190530243,0.072,,33.8,0.12,1.13,0.1,,,0.78,3,0.675,0.575,416,456492204,3,3,51323108,0.155,236.5,,,,,,,,,0.086,,55618,,16.8,,2
